Type,Message
0,weird know one point
0,dear go rubber place
0,still area restaur ill tri come back soon
1,mobil 11mth updat free orang latest colour camera mobil unlimit weekend call call mobil upd8 freefon 08000839402 2stoptx
0,sweet heart
1,1 new messag pleas call 08718738034
0,effect irrit ignor
0,good afternoon love goe day sleep hope well boytoy think
0,make squeez lt gt buck dad
0,gettin bit arti collag mo well tryin 2 ne way got roast min love shall enjoy
0,hello damn christma thing think decid keep mp3 doesnt work
0,stalk u
0,like italian food
0,happi valentin day advanc
0,go join tomorrow
0,guai ü shd haf seen naughti ü free today go jog
0,sac score big set batsman
1,win year suppli cd 4 store ur choic worth enter weekli draw txt music 87066 ts cs
0,u buy newspap alreadi
0,east coast
0,time want come
0,
0,think go honesti road call bank tomorrow tough decis make us great peopl
0,prefer free day tue wed fri oso ü ask workin lor
0,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
0,hope thing went well remind still need u c littl thing left loung
1,1 new messag call
0,alright see bit
0,tri figur suppos see coupl differ peopl week said get togeth set date
0,home way
0,sorri dude dont know forgot even dan remind sorri hope guy fun
0,v romant
0,carlo say mu lt gt minut
0,ok walik ard u wan 2 buy anyth go ur hous
0,unbeliev faglord
0,dun cut short leh u dun like ah fail quit sad
0,hey gave photo regist drive ah tmr wan na meet yck
0,dear angri busi dear
0,wait msg lt gt min
0,sorri hurt
1,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info
0,man carlo definit come mu tonight excus
0,youdo later sar xxx
0,babe think got ur brolli left english wil bring 2mrw 4 u luv franxx
1,u r subscrib 2 textcomp 250 wkli comp 1st wk free question follow subsequ wk charg unsubscrib txt stop 2 84128 custcar 08712405020
0,take lt gt min
0,reassur crazi world
1,guarante 32000 award mayb even cash claim ur award call free 0800 legitimat efreefon number wat u think
0,meant calcul lt gt unit lt gt school realli expens start practic accent import decid 4year dental school nmde exam
0,oh come ah
0,go walmart stay
0,signific dont worri
0,oh brand
0,actual delet old websit blog
0,would realli appreci call need someon talk
0,hey thk juz go accordin wat discuss yest lor except kb sun co nt much lesson go attend kb sat
0,cheer messag zogtoriu stare phone age decid whether text
0,kay sinc alreadi
0,everi day use sleep lt gt
0,give someth drink take vomit temp might drop unmit howev let know
0,guy
0,ill call even ill idea
1,congrat 2 mobil 3g videophon r call 09063458130 videochat wid mate play java game dload polyph music nolin rentl
0,hello r u im bore inev thought id get bore tv tell someth excit happen anyth
0,think sent text home phone cant display text still want send number
0,cool shall go see go tip anyway home got someth drop later let go town tonight mayb mum take us
0,ok let noe later n ask call u tmr
1,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
0,total disappoint text craziest shit got
0,make babi yo tho
0,im gonnamissu much would say il send u postcard butther abouta much chanc merememberin asther ofsi breakin contract luv yaxx
0,know wot peopl wear shirt jumper hat belt know r cribb
1,2p per min call germani 08448350055 bt line 2p per min check info c text stop opt
1,money r lucki winner 2 claim prize text money 2 88600 give away text rate box403 w1t1ji
1,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss
0,ooooooh forgot tell u get yovil phone
1,urgent mobil 07xxxxxxxxx bonu caller prize 2nd attempt reach call 09066362231 asap box97n7qp 150ppm
0,sure stomach
0,hav almost reach call unabl connect u
1,urgent call 09061749602 landlin complimentari 4 tenerif holiday cash await collect sae cs box 528 hp20 1yf 150ppm
0,thank gener date brotha
0,hello wat talk email address
0,god love limit god grace measur god power boundari may u god endless bless alway ur life gud ni8
0,get gandhipuram walk cross cut road right side lt gt street road turn first right
0,oh god gon na googl nearbi cliff
0,know thinkin malaria relax children cant handl malaria would wors gastroenter take enough replac loss temp reduc give malaria med vomit self limit ill mean day complet stop
0,ok
1,heard u4 call 4 rude chat privat line 01223585334 cum wan 2c pic gettin shag text pix 8552 2end send stop 8552 sam xxx
0,hey cuti goe wale kinda like hill shit still avent kill
0,u wana see
0,hi darlin finish 3 u 1 2 pick meet text back number luv kate xxx
0,k colleg
0,stop call everyon say might cancer throat hurt talk ca answer everyon call get one call babysit monday
0,ok lor earli still project meet
0,huh fast dat mean u havent finish paint
0,tell friend plan valentin day lt url gt
0,thankyou much call appreci care
0,easi ah sen got select mean good
0,wat ü
0,run away frm u walk slowli amp kill u care enough stop
0,time think need know near campu
1,sparkl shop break 45 per person call 0121 2025050 visit
0,watch cartoon listen music amp eve go templ amp church u
1,import messag final contact attempt import messag wait custom claim dept expir call 08717507382
0,hi hope good day better night
0,print oh lt gt come upstair
0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
0,ye u text pshew miss much
0,lol enjoy role play much
0,hate call didnt accept even singl call mine even messag
0,oh great disturb talk
0,daddi shu shu look 4 u u wan 2 tell u singapor wat
0,app class varaya elaya
1,500 new mobil 2004 must go txt nokia 89545 collect today 2optout
1,lastest stereophon marley dizze racal libertin stroke win nookii game flirt click themob wap bookmark text wap 82468
1,urgent tri contact today draw show prize guarante call 09050001808 land line claim m95 valid12hr
1,call 09095350301 send girl erot ecstaci stop text call 08712460324 nat rate
0,k wen ur free come home also tel vikki hav sent mail also better come even il free today aftr 6pm
1,dear matthew pleas call 09063440451 landlin complimentari 4 lux tenerif holiday cash await collect ppm150 sae cs box334 sk38xh
0,puriti friendship two smile read forward messag smile see name gud evng
0,hmm bad news hype park plaza 700 studio taken left 2 900
0,alex know guy sell mid south tampa think could set like 8
0,ok prob take ur time
